iter	Passed	Remaining
401	14111	10460
402	14142	10422
403	14176	10387
404	14211	10351
405	14237	10310
406	14272	10274
407	14309	10241
408	14346	10207
409	14381	10172
410	14419	10138
411	14459	10107
412	14493	10071
413	14528	10036
414	14563	10001
415	14595	9963
416	14629	9928
417	14657	9888
418	14687	9850
419	14719	9813
420	14753	9777
421	14786	9741
422	14816	9702
423	14849	9666
424	14882	9630
425	14914	9593
426	14946	9555
427	14986	9523
428	15021	9489
429	15054	9452
430	15088	9416
431	15124	9382
432	15159	9347
433	15195	9313
434	15225	9275
435	15259	9239
436	15291	9202
437	15322	9165
438	15356	9130
439	15392	9095
440	15423	9058
441	15452	9019
442	15489	8985
443	15520	8948
444	15553	8912
445	15584	8875
446	15612	8836
447	15648	8802
448	15677	8764
449	15716	8731
450	15749	8695
451	15776	8656
452	15808	8619
453	15845	8585
454	15877	8549
455	15907	8511
456	15939	8475
457	15972	8439
458	16004	8403
459	16032	8365
460	16061	8327
461	16096	8292
462	16128	8256
463	16165	8221
464	16200	8187
465	16232	8150
466	16261	8113
467	16289	8075
468	16329	8042
469	16364	8008
470	16410	7978
471	16443	7943
472	16472	7905
473	16507	7870
474	16540	7834
475	16575	7800
476	16610	7765
477	16648	7732
478	16678	7695
479	16713	7660
480	16741	7622
481	16777	7588
482	16810	7552
483	16846	7518
484	16879	7482
485	16905	7444
486	16939	7408
487	16969	7372
488	17001	7335
489	17034	7300
490	17063	7263
491	17097	7228
492	17130	7192
493	17164	7157
494	17197	7122
495	17222	7083
496	17255	7047
497	17285	7011
498	17314	6974
499	17346	6938
500	17381	6904
501	17414	6868
502	17451	6834
503	17479	6797
504	17516	6763
505	17548	6727
506	17579	6692
507	17611	6656
508	17644	6620
509	17679	6586
510	17705	6548
511	17734	6511
512	17766	6476
513	17799	6440
514	17833	6406
515	17869	6372
516	17903	6337
517	17938	6302
518	17965	6265
519	18000	6231
520	18035	6196
521	18068	6161
522	18101	6125
523	18131	6089
524	18162	6054
525	18199	6020
526	18231	5984
527	18265	5950
528	18300	5915
529	18333	5880
530	18364	5844
531	18399	5810
532	18431	5774
533	18466	5740
534	18502	5706
535	18534	5671
536	18564	5635
537	18593	5598
538	18625	5563
539	18660	5529
540	18698	5495
541	18731	5460
542	18776	5428
543	18813	5395
544	18849	5360
545	18888	5327
546	18925	5293
547	18959	5258
548	18998	5225
549	19028	5189
550	19066	5155
551	19100	5121
552	19134	5086
553	19166	5051
554	19197	5015
555	19232	4980
556	19267	4946
557	19302	4912
558	19333	4876
559	19364	4841
560	19399	4806
561	19435	4772
562	19467	4737
563	19494	4700
564	19521	4664
565	19561	4631
566	19598	4597
567	19635	4563
568	19667	4527
569	19700	4493
570	19729	4457
571	19759	4421
572	19790	4386
573	19829	4352
574	19856	4316
575	19889	4281
576	19916	4245
577	19949	4210
578	19985	4176
579	20019	4141
580	20053	4107
581	20083	4071
582	20114	4036
583	20149	4002
584	20190	3968
585	20226	3934
586	20264	3900
587	20292	3865
588	20327	3830
589	20358	3795
590	20392	3761
591	20427	3726
592	20458	3691
593	20493	3657
594	20530	3622
595	20563	3588
596	20597	3553
597	20632	3519
598	20670	3485
599	20702	3450
600	20737	3415
601	20767	3380
602	20799	3345
603	20829	3310
604	20866	3276
605	20894	3241
606	20930	3206
607	20964	3172
608	20994	3137
609	21026	3102
610	21057	3067
611	21089	3032
612	21122	2997
613	21162	2964
614	21191	2928
615	21223	2894
616	21259	2859
617	21295	2825
618	21327	2790
619	21362	2756
620	21389	2720
621	21424	2686
622	21452	2651
623	21480	2616
624	21511	2581
625	21541	2546
626	21571	2511
627	21602	2476
628	21633	2441
629	21667	2407
630	21699	2372
631	21733	2338
632	21767	2303
633	21800	2269
634	21833	2234
635	21861	2199
636	21894	2165
637	21926	2130
638	21958	2096
639	21986	2061
640	22020	2026
641	22053	1992
642	22085	1957
643	22122	1923
644	22155	1889
645	22186	1854
646	22227	1820
647	22265	1786
648	22295	1751
649	22329	1717
650	22361	1683
651	22392	1648
652	22425	1614
653	22458	1579
654	22491	1545
655	22526	1510
656	22559	1476
657	22589	1441
658	22621	1407
659	22653	1372
660	22687	1338
661	22717	1304
662	22753	1269
663	22791	1235
664	22826	1201
665	22861	1167
666	22893	1132
667	22925	1098
668	22958	1063
669	22993	1029
670	23033	995
671	23066	961
672	23097	926
673	23128	892
674	23159	857
675	23191	823
676	23223	788
677	23258	754
678	23291	720
679	23317	685
680	23349	651
681	23381	617
682	23412	582
683	23444	548
684	23474	514
685	23503	479
686	23533	445
687	23565	411
688	23600	376
689	23629	342
690	23660	308
691	23698	273
692	23728	239
693	23760	205
694	23791	171
695	23822	136
696	23851	102
697	23885	68
698	23916	34
699	23948	0
